tokenId,token0,token1,tickSpacing
20039,0x4200000000000000000000000000000000000006,0x76d8de471f54aaa87784119c60df1bbfc852c415,1
20042,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,0x4200000000000000000000000000000000000006,100
20043,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,0x4200000000000000000000000000000000000006,100
20044,0x4200000000000000000000000000000000000006,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,100
20045,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,0x4200000000000000000000000000000000000006,100
20046,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,0xf242275d3a6527d877f2c927a82d9b057609cc71,1
20047,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,0x4200000000000000000000000000000000000006,100
20049,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,0xf242275d3a6527d877f2c927a82d9b057609cc71,1
20050,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,0xf242275d3a6527d877f2c927a82d9b057609cc71,1
20051,0x18bc5bcc660cf2b9ce3cd51a404afe1a0cbd3c22,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,50
20052,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,0xe12cefaad61e551691bfa5cda36e5de051778c65,50
20053,0x4200000000000000000000000000000000000006,0x76d8de471f54aaa87784119c60df1bbfc852c415,1
20054,0x4200000000000000000000000000000000000006,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,100
20055,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,0xe12cefaad61e551691bfa5cda36e5de051778c65,50
20056,0x05d032ac25d322df992303dca074ee7392c117b9,0x4200000000000000000000000000000000000006,100
20057,0x05d032ac25d322df992303dca074ee7392c117b9,0x4200000000000000000000000000000000000006,100
20058,0x05d032ac25d322df992303dca074ee7392c117b9,0xf242275d3a6527d877f2c927a82d9b057609cc71,1
20059,0x05d032ac25d322df992303dca074ee7392c117b9,0xf242275d3a6527d877f2c927a82d9b057609cc71,1
20060,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,0xf242275d3a6527d877f2c927a82d9b057609cc71,1
20061,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,0xe12cefaad61e551691bfa5cda36e5de051778c65,50
20062,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,0xe12cefaad61e551691bfa5cda36e5de051778c65,50
20063,0x05d032ac25d322df992303dca074ee7392c117b9,0xf242275d3a6527d877f2c927a82d9b057609cc71,1
20064,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,0x4200000000000000000000000000000000000006,100
20065,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,0x4200000000000000000000000000000000000006,100
20066,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,0x4200000000000000000000000000000000000006,100
20067,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,0x4200000000000000000000000000000000000006,100
20068,0x4200000000000000000000000000000000000006,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,100
20069,0x4200000000000000000000000000000000000006,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,100
20070,0x4200000000000000000000000000000000000006,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,100
20071,0x4200000000000000000000000000000000000006,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,100
20072,0x4200000000000000000000000000000000000006,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,100
20073,0x4200000000000000000000000000000000000006,0x7f9adfbd38b669f03d1d11000bc76b9aaea28a81,200
20074,0x03c7054bcb39f7b2e5b2c7acb37583e32d70cfa3,0x4200000000000000000000000000000000000006,100
20075,0x05d032ac25d322df992303dca074ee7392c117b9,0xf242275d3a6527d877f2c927a82d9b057609cc71,1
20076,0x4200000000000000000000000000000000000006,0x43f2376d5d03553ae72f4a8093bbe9de4336eb08,100
